,Unnamed: 0,area,bath,bed,date_check,description,features,location,price,property_date,specific_location,toilet,90_perc,10_perc,forsale_flag,date_flag,50_perc,location_rank,terrace_flag,new_flag,serviced_flag,estate_flag,furnish_flag,flag,island
21091,2359,ado,3,2,Added 26 Feb 2020,A Very Sharp 2 Bedroom upstairs Apartment,2 beds 3 baths 3 Toilets,ajah,850000,2020,"Good Home Estate road Oke Ira Bridge Ado road, Ajah LagosAdo Ajah Lagos",3,1200000,600000,0,1,800000,29,0,0,0,0,0,0,Island
21092,2360,ado,1,1,"Updated 26 Feb 2020, Added 25 Feb 2020",A room self contain,1 beds 1 baths 1 Toilets,ajah,350000,2020,Infinite estatesAdo Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21094,2362,ado,3,3,"Updated 19 Feb 2020, Added 31 Jan 2020",self compound 3 bedrooms bungalow,3 beds 3 baths 3 Toilets,ajah,900000,2020,Ado Ajah Lagos,3,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21095,2363,ado,0,2,"Updated 19 Feb 2020, Added 21 Jan 2020",Standard newly finished 2 Bedroom flat,2 beds 0 baths 0 Toilets,ajah,700000,2020,UNITY ESTATEAdo Ajah Lagos,0,1200000,600000,0,2,800000,29,0,1,0,0,0,1,Island
21096,2364,ado,3,3,"Updated 17 Feb 2020, Added 09 Sep 2019",A newly built 2bedroom flat,3 beds 3 baths 4 Toilets,ajah,1000000,2020,Before AdoAdo Ajah Lagos,4,1500000,600000,0,2,925000,33,0,1,0,0,0,1,Island
21097,2365,ado,1,1,"Updated 17 Feb 2020, Added 06 Dec 2019",Harmony estate Owode Ajah Lagos,1 beds 1 baths Toilets,ajah,350000,2020,Harmony estate Oeode Ajah Lekki LagosAdo Ajah Lagos,0,710000,230000,0,2,400000,14,0,0,0,1,0,1,Island
21099,2367,ado,1,1,"Updated 17 Feb 2020, Added 15 Nov 2019",Mini Flat For Rent At Ado Road Ajah LK382,1 beds 1 baths 1 Toilets,ajah,550000,2020,Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21100,2368,ado,4,4,"Updated 17 Feb 2020, Added 15 Sep 2019",4 bedroom detached duplex,4 beds 4 baths 5 Toilets,ajah,2200000,2020,Ado Ajah Lagos,5,3000000,1370000,0,2,2300000,54,2,0,0,0,0,0,Island
21101,2369,ado,2,2,"Updated 17 Feb 2020, Added 15 Sep 2019",2bedroom apartment @lekki palm drive @ajah,2 beds 2 baths 3 Toilets,ajah,1000000,2020,Ado Ajah Lagos,3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21102,2370,ado,2,2,"Updated 15 Feb 2020, Added 10 Jan 2020",Luxury 2 bedrooms flat,2 beds 2 baths 3 Toilets,ajah,800000,2020,#NAME?,3,1200000,600000,0,2,800000,29,0,1,0,0,0,1,Island
